Symbol,Name
A900090,차이나하오란
A900080,에스앤씨엔진그룹
A900110,이스트아시아홀딩스
A900180,완리
A900270,헝셩그룹
A900260,로스웰
A900290,GRT
A900300,오가닉티코스메틱
A900310,컬러레이
A000250,삼천당제약
A000440,중앙에너비스
A001000,신라섬유
A001540,안국약품
A001810,무림SP
A001840,이화공영
A002230,피에스텍
A002290,삼일기업공사
A002680,한탑
A002800,신신제약
A003100,선광
A003310,대주산업
A003380,제일홀딩스
A003670,포스코켐텍
A003800,에이스침대
A004590,한국가구
A004650,창해에탄올
A004780,대륙제관
A005160,동국산업
A005290,동진쎄미켐
A005670,푸드웰
A005710,대원산업
A005860,한일사료
A005990,매일홀딩스
A006050,국영지앤엠
A006140,피제이전자
A006580,대양제지
A006730,서부T&D
A006910,보성파워텍
A006920,모헨즈
A007330,푸른저축은행
A007370,진양제약
A007390,네이처셀
A007530,영신금속
A007720,대명코퍼레이션
A007770,한일화학
A007820,에스엠코어
A008290,원풍물산
A008370,원풍
A008470,부스타
A008800,행남생활건강
A008830,대동기어
A009300,삼아제약
A009520,포스코엠텍
A009620,삼보산업
A009730,코센
A009780,엠에스씨
A010170,대한광통신
A010240,흥국
A010280,쌍용정보통신
A010470,오리콤
A011040,경동제약
A011080,형지I&C
A011320,유니크
A011370,서한
A011560,세보엠이씨
A012340,뉴인텍
A012620,원일특강
A012700,리드코프
A012790,신일제약
A012860,서연전자
A013030,하이록코리아
A013120,동원개발
A013310,아진산업
A013720,청보산업
A013810,스페코
A013990,아가방컴퍼니
A014100,보령메디앙스
A014190,원익큐브
A014200,광림
A014470,부방
A014570,고려제약
A014620,성광벤드
A014940,오리엔탈정공
A014970,삼륭물산
A015710,코콤
A015750,성우하이텍
A016100,리더스코스메틱
A016170,로엔
A016250,이테크건설
A016600,큐캐피탈
A016670,포비스티앤씨
A016920,카스
A017000,신원종합개발
A017250,인터엠
A017480,삼현철강
A017510,세명전기
A017650,대림제지
A017680,데코앤이
A017890,한국알콜
A018000,유니슨
A018120,진로발효
A018290,지엠피
A018310,삼목에스폼
A018620,우진비앤지
A018680,서울제약
A018700,바른손
A019010,그랜드백화점
A019210,와이지-원
A019540,일지테크
A019550,SBI인베스트먼트
A019570,제미니투자
A019590,엠벤처투자
A019660,글로본
A019770,서연탑메탈
A019990,에너토크
A020180,대신정보통신
A020400,대동금속
A020710,시공테크
A021040,대호피앤씨
A021045,대호피앤씨우
A021080,에이티넘인베스트
A021320,KCC건설
A021650,한국큐빅
A021880,메이슨캐피탈
A022100,포스코 ICT
A022220,정산애강
A023160,태광
A023410,유진기업
A023430,아이이
A023440,제일제강
A023460,CNH
A023600,삼보판지
A023760,한국캐피탈
A023770,플레이위드
A023790,동일철강
A023890,아트라스BX
A023900,풍국주정
A023910,대한약품
A024060,흥구석유
A024120,KB오토시스
A024660,하림홀딩스
A024740,한일단조
A024800,유성티엔에스
A024810,이화전기
A024830,세원물산
A024840,갑을메탈
A024850,피에스엠씨
A024880,케이피에프
A024910,경창산업
A024940,PN풍년
A024950,삼천리자전거
A025320,시노펙스
A025440,대성엘텍
A025550,한국선재
A025770,한국정보통신
A025870,신라에스지
A025880,케이씨피드
A025900,동화기업
A025950,동신건설
A025980,에머슨퍼시픽
A026040,제이에스티나
A026150,특수건설
A026180,현대정보기술
A026260,카테아
A026910,광진실업
A027040,서울전자통신
A027050,코리아나
A027580,상보
A027710,팜스토리
A027830,대성창투
A028040,스페로 글로벌
